Abs Value,Div Norm,MC Norm,RW Norm
7.27907841111839e-06,0.999977684133752,1.62395601374444e-43,1.50367878372805e-05
0.981743843313566,0.0182551738702305,3.99990567675595e-60,9.82816203983077e-07
5.51780787979305e-10,3.6397558487734e-09,5.63243757507012e-96,0.999999995808463
0.999997720481109,2.27951448246986e-06,1.17114665812278e-31,4.40822285332384e-12
1.57081600079206e-16,0.999998039618494,1.13193220683611e-20,1.960381506243e-06
1.50638656720067e-29,1.67130567838467e-25,1.0079677978087e-29,1
0.149058871854613,0.00715491334848335,5.77314921700945e-18,0.843786214796904
0.999973237252005,6.45116741526994e-06,1.92950487616628e-52,2.03115805794176e-05
0.455383998819075,0.544603224390368,5.48670107686714e-33,1.27767905572304e-05
0.997847998825894,0.00215128908985554,1.67295136711495e-89,7.12084249904429e-07
0.999999987168266,1.26281069068137e-08,1.76144111530547e-53,2.03627631242616e-10
7.57261326548369e-08,4.77955293733938e-10,1.32774966946647e-24,0.999999923795912
1.11650563337104e-06,0.908130230521531,5.11517642355827e-61,0.0918686529728357
0.0494094060668227,0.950562420738628,7.29936135068098e-92,2.81731945491613e-05
